Airport,City,CountOfFlights,IATA,Latitude,Longitude,PathId,PointOrder
Billings Logan International Airport,"Billings, MT",0,BIL,45.807701110839844,-108.54299926757812,922,1
Denver International Airport,"Denver, CO",62,DEN,39.861698150635,-104.672996521,923,0
Bismarck Municipal Airport,"Bismarck/Mandan, ND",0,BIS,46.77270126342773,-100.74600219726562,923,1
Denver International Airport,"Denver, CO",379,DEN,39.861698150635,-104.672996521,924,0
Nashville International Airport,"Nashville, TN",0,BNA,36.1245002746582,-86.6781997680664,924,1
Denver International Airport,"Denver, CO",337,DEN,39.861698150635,-104.672996521,925,0
Boise Air Terminal/Gowen field,"Boise, ID",0,BOI,43.56439972,-116.22299960000001,925,1
Denver International Airport,"Denver, CO",366,DEN,39.861698150635,-104.672996521,926,0
General Edward Lawrence Logan International Airport,"Boston, MA",0,BOS,42.36429977,-71.00520325,926,1
Denver International Airport,"Denver, CO",214,DEN,39.861698150635,-104.672996521,927,0
Bob Hope Airport,"Burbank, CA",0,BUR,34.200698852539055,-118.35900115966795,927,1
Denver International Airport,"Denver, CO",389,DEN,39.861698150635,-104.672996521,928,0
Baltimore/Washington International Thurgood Marshall Airport,"Baltimore, MD",0,BWI,39.17539978,-76.66829681,928,1
Denver International Airport,"Denver, CO",191,DEN,39.861698150635,-104.672996521,929,0
Gallatin Field,"Bozeman, MT",0,BZN,45.77750015,-111.15299990000001,929,1
Denver International Airport,"Denver, CO",143,DEN,39.861698150635,-104.672996521,930,0
The Eastern Iowa Airport,"Cedar Rapids/Iowa City, IA",0,CID,41.88470077514648,-91.71080017089844,930,1
Denver International Airport,"Denver, CO",177,DEN,39.861698150635,-104.672996521,931,0
Cleveland Hopkins International Airport,"Cleveland, OH",0,CLE,41.411701202399996,-81.8498001099,931,1
